"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"GPHA2_6395.58",0.0136569100884711,692.3416461,437.761831274074,0.6613379619923,1.23316221041843,1.23316221041843
"RAB4A_16883.57",0.0032022344018934,2079.41862148519,2926.7235597037,-0.493106258192052,-1.23007667843515,1.23007667843515
"PRS8_25456.73",0.000600980812209463,4246.70794233333,5533.0572017037,-0.381731944657776,-1.22961180476911,1.22961180476911
"MLP3B_11608.5",0.000335608065659638,17418.444362,22258.9394655556,-0.353769073774196,-1.22905305764286,1.22905305764286
"MARCO_20134.27",0.00155330296496608,117.817181069259,87.0047736640741,0.437383476003826,1.22849813902982,1.22849813902982
"LRRN1.CD_11293.14",0.0047453815342607,918.680740703704,636.852613162963,0.528604056112897,1.228332502841,1.228332502841
"ZNF23_11565.58",0.165645871632044,641.262860092593,215.777037040741,1.57137451167302,1.2269596774605,1.2269596774605
"PRPS2_18329.4",0.00707041083609197,954.689567896296,1417.36849793333,-0.570111289667144,-1.22605588419327,1.22605588419327
"NXPH1_4562.1",0.00429156756783257,23673.2164607407,16533.336255963,0.517877862277482,1.22601578862776,1.22601578862776
"RELB_11464.9",0.00189725753647743,798.156193437037,584.146481477778,0.450340912219578,1.22577109101645,1.22577109101645
"RGS1_18945.11",0.000272395585674008,8184.16818911111,6449.93855974074,0.343550375652862,1.22468835669083,1.22468835669083
"RGS16_21255.2",0.00107788144849223,1157.50039095926,869.560205774074,0.412654856736908,1.224523989982,1.224523989982
"BPTF_12482.5",0.00067903640282898,1421.84841562963,1087.75800417037,0.386410033449668,1.22418830972716,1.22418830972716
"WF10A_13429.3",0.00487962908855129,998.464958859259,691.85771607037,0.529236426094796,1.22338990235893,1.22338990235893
"TIM13_23621.326",0.00648086195848328,5484.06909477778,3723.30176951852,0.558664198230756,1.22256242334794,1.22256242334794
"BRD2_10074.128",0.0006908541785286,927.400185174074,709.498230459259,0.386392928672677,1.22123874967273,1.22123874967273
"LIPR2_6957.14",0.0108348405817353,1997.20518515185,1299.0559054037,0.620519038221354,1.21943003627605,1.21943003627605
"STX12_10418.36",0.046540356088561,2854.9365227037,5382.01641981481,-0.914688123714387,-1.21852035050305,1.21852035050305
"TUTLB_9060.27",1.40622968592362e-05,1101.34975305926,925.461810725926,0.25102733146536,1.21797048902524,1.21797048902524
"KDF1_23550.10",0.262479429336855,3590.89958837407,840.240761307407,2.09547063188635,1.21726879499951,1.21726879499951
"BMP.6_8459.10",0.00908999125242423,609.822304522222,403.396769540741,0.596189387837874,1.21708279794021,1.21708279794021
"LMO3_22492.108",9.36922149234028e-05,1222.97176956667,991.898724288889,0.30212637190717,1.21705460470596,1.21705460470596
"p27Kip1_3719.2",0.318683288947849,3779.68810688148,691.609999985185,2.45023655657403,1.21688722160214,1.21688722160214
"SIM13_13452.113",8.51909588959772e-06,674.406666666667,571.050658433333,0.240000063646522,1.21670588107356,1.21670588107356
"LMOD1_12504.26",0.00818779365540844,2097.42810703704,1400.25598777778,0.582930763099584,1.21647921770469,1.21647921770469
"MRCKA_12706.2",0.0527471845033313,3465.94248981481,1791.98991755556,0.951685195895403,1.21606402551371,1.21606402551371
"SPYA_24646.47",0.00289672303698166,450.704238688889,323.446213992593,0.478655192277906,1.21487140576477,1.21487140576477
"BCL6_13111.79",0.00449979951231202,1939.21868318519,1354.71386837037,0.517487334016291,1.21444281285728,1.21444281285728
"PO6F1_21194.39",0.054310927796342,9918.21041144444,5100.02674896296,0.959575018110445,1.21397061692758,1.21397061692758
"PIM1_5359.65",0.000204429360022692,1447.11683122222,1152.02644031852,0.329007572151871,1.21385920160713,1.21385920160713
"NR5A2_12444.39",0.309211819954278,2088.49565858889,402.138395062963,2.37670015217172,1.21150843574517,1.21150843574517
"MPP6_13490.1",0.00109392139554107,1323.76156377778,997.0563992,0.408896267890046,1.21074752609454,1.21074752609454
"RPP25_23311.19",0.0106596826083734,1204.38304530741,787.017222196296,0.613827192290189,1.21062419490258,1.21062419490258
"Dr1.associated.corepressor_24636.9",0.00027342586608033,693.110226333333,547.686316877778,0.33973496726891,1.2105301830832,1.2105301830832
