"Protein","Active_mean","Inactive_mean","Healthy_control_mean","Active/Healthy_control","Inactive/Healthy_control","Active/Inactive","log(Active_and_Healthy_control)","log(Inactive_and_Healthy_control)","log(Active_and_Inactive)"
"GALK2_23631.1",11581.8427592593,12500.9989259259,7490.75333333333,1.54615193477549,1.66885737250182,0.926473382478226,0.628682094668325,0.738860661245173,-0.110178566576848
"SLNL1_23632.22",2606.83238888889,2639.38387037037,1751.95375925926,1.48795730201868,1.50653740512325,0.987667015076169,0.573333127891018,0.591236493387661,-0.017903365496643
"RNF25_23637.55",363.483185185185,361.641648148148,449.237111111111,0.809112106268718,0.80501285224119,1.00509215972902,-0.305588486233552,-0.312916278471765,0.00732779223821255
"CARME_23638.3",2150.36672222222,2445.23916666667,384.570666666667,5.59160359488908,6.35836109878375,0.879409569229822,2.48326208747323,2.66865495114583,-0.185392863672603
"PEPL1_23639.93",320.531814814815,326.216851851852,347.137833333333,0.923356039118414,0.939732926023674,0.982572828458234,-0.115041047420587,-0.0896772966592365,-0.0253637507613507
"EHD2_23640.10",8147.99112962963,8977.96359259259,8235.61525925926,0.989360342018028,1.09013878258807,0.907554485557533,-0.0154320238935668,0.124511812255627,-0.139943836149194
"DHB4_23643.22",6740.92425925926,6889.5125,11076.5309259259,0.608577207461348,0.621991898553209,0.978432691610511,-0.716487792086839,-0.685032305517379,-0.0314554865694601
"DAK_23644.19",13503.1451851852,12120.8873333333,6916.67603703704,1.95225930965673,1.75241507169471,1.11403932846158,0.965144692198655,0.809344527765803,0.155800164432852
"HACL1_23645.49",785.800018518518,795.313648148148,654.908148148148,1.19986294374331,1.2143896062326,0.988037889640418,0.262869621105085,0.280231348121567,-0.0173617270164813
"AIPL1_23646.5",1288.03011111111,1338.24496296296,1092.14311111111,1.17936019373936,1.22533846466465,0.962477085106547,0.238004405645216,0.293180307470597,-0.0551759018253804
"DDI1_23648.36",347.731333333333,355.145074074074,305.760555555556,1.13726681553649,1.16151369959669,0.979124754130211,0.185570766361153,0.216006170266959,-0.0304354039058061
