"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"ANRA2_21590.9",0.216431120377001,2085.01991759259,1655.38290122222,0.332896204665288,0.221269546649513,0.221269546649513
"OGT1_21733.11",0.151776254313596,165.286872437037,137.07053497037,0.270053667092096,0.22111890812893,0.22111890812893
"UNC5H4_8624.16",0.143386273708004,308.318415648148,257.112222225926,0.262022870672054,0.221014305660805,0.221014305660805
"Phosphoglycerate.mutase.1_3896.5",0.262369314726678,91692.0027111481,70458.1215572222,0.38002989632792,0.220830416794839,0.220830416794839
"DB112_5689.1",0.373517119164416,221.859218111111,317.156563774074,-0.51555070257383,-0.220495616361655,0.220495616361655
"DIRA1_17793.4",0.189255816797495,365.678374466667,296.027016462963,0.304846463654499,0.220388983660282,0.220388983660282
"BL1S3_24487.95",0.0945713473691826,940.553148155556,810.249094659259,0.215143965376734,0.220359146205499,0.220359146205499
"ICT1_6380.23",0.15383338102259,42740.2259463667,35423.7320162963,0.270878321674436,0.220210373066613,0.220210373066613
"CD320_16320.139",0.21970712498054,1272.6198764963,1009.49170784444,0.334172499556037,0.219937588473176,0.219937588473176
"AT1B2_7218.87",0.131394213779165,4179.17899174074,3516.37329222222,0.249131317081909,0.219590262093336,0.219590262093336
"C1T9A_16605.2",0.0308921597657042,538.921748974074,487.257201651852,0.145392301322345,0.219564435047405,0.219564435047405
"CD1D_8749.194",0.152645896103525,606.514218085185,503.451543203704,0.268688539119944,0.219334449142863,0.219334449142863
"A2ML1_15482.12",0.0945776255233609,711.571440318519,613.568868318519,0.213783323417896,0.218959358369458,0.218959358369458
"CRTP1_25220.8",0.338146031560706,674.013415637037,930.272283911111,-0.46487573709036,-0.218907987970432,0.218907987970432
"SPAT5_25258.41",0.0375062095063913,561.682942392593,624.682633748148,-0.153367432625925,-0.218686135205347,0.218686135205347
"CEAM7_7184.13",0.331647061893244,702.995967074074,964.158045285185,-0.455753240244362,-0.218453395860164,0.218453395860164
"DIXC1_13441.30",0.0117883373728133,155.11454732963,143.408518507407,0.113203271966068,0.218317880744022,0.218317880744022
"BMP.2_15666.21",0.00650268184484404,256.274609048148,239.154547325926,0.0997473243928988,0.218138171230688,0.218138171230688
"MAGBA_11456.2",0.432388829405783,470.104897114815,711.630946488889,-0.598146540768018,-0.217800428806543,0.217800428806543
"UBE2W_21190.4",0.435206195736191,3596.2641563037,2368.4084362963,0.602581097210692,0.217715521453823,0.217715521453823
"GG12F_20068.61",0.207148884957286,189.878765433333,152.282098755556,0.318332216290117,0.21764927528463,0.21764927528463
"Troponin.T_5315.22",0.105487204870776,1161.67528804074,995.46364202963,0.222766332849586,0.217598201858466,0.217598201858466
"GSTM3.3_9748.31",0.101550807601461,675.319547333333,785.873539066667,-0.218726858674253,-0.217265023620041,0.217265023620041
"Multifunctional.protein.ADE2_9841.197",0.0986695219089725,1030.6738272,1197.09448561111,-0.215949185823739,-0.217205357079311,0.217205357079311
"ULBP.1_14081.5",0.0974830747816775,427.714465011111,368.542448559259,0.214817201121015,0.21719539528517,0.21719539528517
"CAPG_4968.50",0.2959003173559,2579.41384772963,1940.45995892222,0.410644597714605,0.217171271758777,0.217171271758777
"KI3L2_5096.51",0.0492231228853609,461.152283955556,411.0456996,0.165944443082992,0.217027259828571,0.217027259828571
"DBND1_20970.14",0.549521349478892,7583.22267559259,4254.05757215185,0.833971529088919,0.216845465842296,0.216845465842296
"TPH1_21521.17",0.161606533976792,1830.24716051852,1513.834465,0.273831028398165,0.216748509072177,0.216748509072177
"DAN_2944.66",0.0863863557705938,1199.83518514815,1042.04722223704,0.203415586841973,0.216343633224585,0.216343633224585
"KAP1_12479.50",0.213866307719334,2141.34699590741,2678.32716051852,-0.322813601080341,-0.216239153219079,0.216239153219079
"HGH_8462.18",0.167991076682326,427.342716048148,352.174835388889,0.279101706960232,0.216223940198843,0.216223940198843
"CS084_23536.14",0.0501300772089566,232.040884777778,206.774300411111,0.166322138537905,0.216202418408065,0.216202418408065
"Alkaline.phosphatase..intestine_10463.23",0.0459094826187948,753.93936212963,674.092407414815,0.161502119363602,0.21610559856223,0.21610559856223
"OSCAR_8702.42",0.00638700486237586,527.112448555556,492.346296303704,0.0984373584473234,0.216040741603746,0.216040741603746
"SMYD2_12636.113",0.267769192296735,205.750041151852,267.272592574074,-0.377419185031068,-0.2159741247528,0.2159741247528
"SHAN1_13256.21",0.0481917846261033,783.233868292593,699.170596714815,0.163798636481119,0.21572722528819,0.21572722528819
"ZN593_23618.23",0.220528200280225,308.382119344444,245.612489703704,0.328335191701582,0.215563829675594,0.215563829675594
"Cardiotrophin.1_2889.37",0.0271281815267865,559.07971192963,508.256728396296,0.13749658406058,0.2153993047697,0.2153993047697
"C1QT3_7251.64",0.0615745827355583,1526.14868311111,1349.20141971111,0.177789780204506,0.215232045232178,0.215232045232178
"MAG_20579.50",0.119828928370725,601.058189311111,511.22203702963,0.233554639824333,0.215206196012494,0.215206196012494
"PACA_8285.64",0.497390553918134,488.174176937037,298.569958859259,0.70932696908275,0.215140619486763,0.215140619486763
"GAS2_23394.125",0.110636485834557,302.101810696296,258.53623457037,0.224668338696579,0.2148057642191,0.2148057642191
"ZN580_24430.11",0.0539074534709793,448.561893,398.885534977778,0.16933225625452,0.214772767588259,0.214772767588259
"RSPO3_8427.118",0.102616930274055,702.714506181482,604.520555548148,0.217147284164061,0.214711104690629,0.214711104690629
"SCF_9377.25",0.107837008209044,2245.85860077778,1925.89619340741,0.221737155116506,0.214471309613329,0.214471309613329
"Enterokinase_3189.61",0.0269921148398277,363.442427981482,330.601872422222,0.136631952868848,0.214343164167419,0.214343164167419
"Granzyme.H_3373.5",0.0282065317328703,405.893251025926,368.793477366667,0.138287211985757,0.214296821100873,0.214296821100873
"PCYXL_5599.88",0.316874812212869,2291.73853903704,1702.02156388889,0.429193143129317,0.214215568526005,0.214215568526005
"Desmocollin.1_10882.12",0.0551469525361707,796.717078166667,708.149423848148,0.170013690505248,0.213958571148682,0.213958571148682
"PWP2B_24267.24",0.16812828706315,841.739135822222,695.216255155556,0.27591138073311,0.213654519287041,0.213654519287041
"OMP_18240.6",0.0497379713068583,601.328292181482,536.76855967037,0.163852667638035,0.213551136911201,0.213551136911201
"MXRA7_8005.1",0.202119194857875,1041.89825107037,841.971460925926,0.307371156537839,0.213436207510129,0.213436207510129
"CATE_15376.134",0.0984469279729119,984.610596774074,850.059135833333,0.211990058202812,0.213431130883884,0.213431130883884
"GALP_9398.30",0.0875463481078607,393.611707825926,342.243950622222,0.20174809255035,0.213401458867998,0.213401458867998
"DJC12_21114.18",0.263323972816785,351.548621403704,272.386111114815,0.36807109432771,0.213300733105688,0.213300733105688
"ETS2_12350.86",0.0317277475725148,1490.35506177778,1644.84411522222,-0.142294784781664,-0.213237380597752,0.213237380597752
"CSRP2_12968.2",0.0865808579332556,2370.8763579963,2063.00222225926,0.200675052455866,0.213232918978078,0.213232918978078
"GP101_11371.1",0.0857020447104098,674.06685187037,586.948497937037,0.199657761589005,0.213036591877802,0.213036591877802
"CI061_5699.19",0.205869740628423,5256.10835381482,4239.79283940741,0.310001241926554,0.212787172085498,0.212787172085498
"EGLN3_20986.58",0.466237280190717,740.36417697037,1155.14530856296,-0.641767346987507,-0.212677208584731,0.212677208584731
"IGFBP.2_2570.72",0.185322553242699,7793.06438325926,6372.03296307407,0.290437005306562,0.212620719486252,0.212620719486252
"ROA0_24697.48",0.228293060966346,1958.44094644815,2463.75687239259,-0.33115426866303,-0.212437877069737,0.212437877069737
"FOXP1_24935.62",0.0188834057629731,337.522695477778,309.921008222222,0.123083961793186,0.212186863378597,0.212186863378597
"Nidogen_3213.65",0.0749174216354037,1717.25794248148,1506.92349792593,0.188500579686713,0.212141790396547,0.212141790396547
"CCD69_20932.10",0.282319705305474,1744.29615218519,1334.63701640741,0.386197583358509,0.212122424279715,0.212122424279715
"Angiopoietin.1_2811.27",0.146568293567747,23150.9755137778,19410.44856,0.25423952770755,0.212025588499408,0.212025588499408
"Kallistatin_14105.5",0.102769360338102,42480.8137448148,36618.7535796296,0.214228716210996,0.211687180977838,0.211687180977838
"SORT_11300.32",0.067591096324096,694.376255162963,612.606851840741,0.180756111159088,0.211504625281173,0.211504625281173
"PTH1R_13470.43",0.207317858380242,1054.08037036667,850.693168711111,0.30927409816281,0.211346564034313,0.211346564034313
"Ephrin.A3_5759.10",0.132087102040455,2202.88668725926,1864.77833325926,0.240391140075691,0.211337367853104,0.211337367853104
"UPP_21354.92",0.233565595922325,288.613518518519,363.931687251852,-0.334528794440879,-0.211285418688114,0.211285418688114
"GFAP_3034.1",0.285799665030442,436.010370374074,570.688477355556,-0.388340984699782,-0.21123352904064,0.21123352904064
"PLUNC_6473.55",0.195918442631137,843.027613192593,685.660473244444,0.298085530577899,0.211022103878477,0.211022103878477
"ABHEA_5715.4",0.203736335477585,8380.17428,6781.94868303704,0.305280379571851,0.21092783350433,0.21092783350433
"B3GT5_20593.10",0.0880859404257261,1577.06057614815,1374.02362140741,0.198831269918697,0.209785561533977,0.209785561533977
