"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"VSIG4_17678.28",2.27914554262623e-05,11418.7797942387,3840.87382716049,1.57190201600537,7.29712745854788
"IZUM4_20549.1",9.07695011640021e-09,1243.34283950617,664.552037037037,0.903770082422313,7.26817327538307
"C3d_5803.24",0.000870053832599564,15468.2505144033,3014.41740740741,2.35935892838081,7.22070917621899
"C4b.binding.protein.alpha.chain_9449.150",3.87178617244613e-08,23381.9149382716,12126.8703292181,0.947185817374143,7.0206252326938
"MPIP1_11548.84",0.0481736880444181,8308.91897119342,213.462674897119,5.28260505392208,6.958195100512
"H2B2E_14143.8",0.000357662934450049,22040.9572427984,5456.99176954733,2.01400910888418,6.94133488810655
"Kininostatin_19631.13",0.000225066504617276,16950.9013580247,4574.14674897119,1.88978743366231,6.8933570869559
"Activin.A_19622.7",1.89395043932612e-06,12739.7811316872,5625.32156378601,1.17933301895261,6.74888815322841
"HTRA1_15594.47",7.94005196262904e-07,23560.1079835391,10949.5704115226,1.10547188236045,6.74357376995457
"GRIA4_10760.107",5.06935977288976e-07,4322.03176954732,2085.3500617284,1.05142009184317,6.6187387747901
"Macrophage.mannose.receptor_2637.77",1.13134870884343e-06,8148.95440329218,3793.89962962963,1.10293344653555,6.55848732268473
"H2A3_14144.3",0.00269760489001093,11863.5483950617,2035.75845679012,2.54289728487545,6.532758203489
"Lectin..mannose.binding.2_7638.30",3.22198802237247e-05,11505.4494650206,4203.42703703704,1.45267940795312,6.52525588215191
"LBP_3074.6",4.39741130197336e-08,58341.7506995885,31566.2905761317,0.8861439424315,6.51918633588589
"IGF.I_2952.75",1.30816824800458e-06,27421.9337860082,12866.0510288066,1.09176099733114,6.42319721167746
"OLFL3_8660.33",3.88414441221276e-05,10278.891399177,3753.65327160494,1.45331737674799,6.41015368455413
"C9_13722.105",6.09711304570603e-09,77649.1193004115,45353.9052263375,0.775742781337421,6.37263056474952
"OAF_6414.8",3.86884285210805e-07,10852.7693004115,5484.75111111111,0.984565161918843,6.31344426286523
"B4GT1_13381.49",1.20930453802107e-07,27886.7584773663,14851.1640740741,0.909004229243173,6.28800432015188
"IGF.II.receptor_3676.15",3.10030666469132e-07,12131.8275925926,6278.97806584362,0.950195223127629,6.18443620713726
"CA226_7989.5",1.13565555129531e-06,5187.71565843621,2536.59144032922,1.03220823843782,6.1362234058971
"MIP.5_18289.16",9.4661599734298e-07,23809.3648559671,11770.4044444444,1.01636524159478,6.12240753088432
"ZAP70_4476.22",9.33705320307351e-06,29494.938271605,12711.5550205761,1.21432686198492,6.10780930939026
"NAB1_13933.276",4.77547287539065e-06,4117.85886831276,1880.43234567901,1.13082998328861,6.0171278151182
"C8_2429.27",1.38029449827804e-05,11066.1657201646,4711.98349794239,1.23174904221814,5.98633513355259
"alpha.1.antichymotrypsin.complex_4153.11",0.00029053374180969,23103.6795061729,7211.52872427984,1.6797456100581,5.9409300226635
"Apo.A.V_15363.32",1.10071906513073e-05,25197.823909465,11031.5723662552,1.19166070994129,5.90863931548935
"IGF.II.receptor_16057.6",9.64761473373974e-08,8576.05016460905,4814.81757201646,0.832832207673945,5.84280101940756
