"Protein","Adjusted_linear_model","linear_modeling_pvalue","spearman","spearman_pvalue","log_lm_pvalue","log_spear_pvalue"
"PEN2_23624.34","~ PGA",0.742619458450681,-0.145915035959673,0.44166683891361,0.129233675380474,0.354905207075026
"K1143_23625.44","~ PGA",0.567290030676566,0.23665753159785,0.207984803916357,0.246194848482185,0.681968394923587
"CF057_23627.3","~ PGA",0.993008035989647,-0.0714870563771423,0.707367452952167,0.00304723693076316,0.150354926608428
"VMAC_23629.4","~ PGA + Sex",0.768159020549515,-0.130757970208824,0.490996423609816,0.114548865127008,0.308921671241958
"GALK2_23631.1","~ PGA",0.945840639369172,-0.0728444055488602,0.702060400341149,0.0241820298483922,0.153625522618848
"SLNL1_23632.22","~ PGA",0.841160909801076,-0.0101801187878842,0.957420543784212,0.0751209179307358,0.0188972579106842
"RNF25_23637.55","~ PGA",0.753286989445364,-0.0719475096062298,0.705565621370849,0.123039533511104,0.151462588325035
"CARME_23638.3","~ PGA",0.527269888722605,0.0185504386801445,0.922491530238681,0.277967029607305,0.0350376125808153
"PEPL1_23639.93","~ PGA",0.869084120958182,-0.144573769303084,0.445920654798624,0.0609381850014857,0.350742410903779
"EHD2_23640.10","~ PGA",0.300285976462807,0.220343015542205,0.241986645058092,0.522464949143107,0.616208601530397
"DHB4_23643.22","~ PGA",0.422553984402236,-0.153736895526519,0.417302288688278,0.374117798831942,0.379549233400047
"DAK_23644.19","~ PGA",0.944723240697996,0.174778148335888,0.355611245295692,0.0246954006353847,0.449024514032963
"HACL1_23645.49","~ PGA",0.886836876205957,-0.0424218806640506,0.823861558379417,0.0521562564689302,0.0841457609767364
"AIPL1_23646.5","~ PGA",0.460591231245211,0.050900593939421,0.789376243213451,0.336684334409278,0.102715948116028
"DDI1_23648.36","~ PGA",0.887354589111668,-0.138902065239131,0.464149977954394,0.0519028003240469,0.333341665838235
"KLHL2_23649.6","~ PGA",0.947336923435358,-0.00395937552864472,0.983433168176634,0.0234955352887907,0.00725514838145824
"Dematin_23650.2","~ PGA",0.463705034484453,0.0956931166061114,0.614951251506433,0.333758188906982,0.211159310307312
"SOX_23652.15","~ PGA",0.157201057675138,0.202267527006193,0.283756690400214,0.803544536280511,0.547053889905815
"ALG2_23654.6","~ PGA",0.308392187126884,-0.14184298844452,0.454649067315496,0.510896632990285,0.34232369550411
"PUS7_23656.9","~ PGA",0.359091671645076,-0.23210670836376,0.217120429157864,0.444794667278634,0.66329931126177
"HNRLL_23657.102","~ PGA",0.316046919876003,0.076011553616202,0.689730931165796,0.500248437854408,0.161320297523584
"SYNM_23658.1","~ PGA + Smoking",0.72402003890306,-0.0742100099083125,0.696734894905227,0.140249413547899,0.156932437943569
"BZW2_23659.2","~ PGA",0.52253838695682,-0.0995500132916387,0.600701337290936,0.281881799702739,0.221341401218239
"KLH41_23660.112","~ PGA",0.961355606023604,-0.135636893109858,0.474819542634473,0.0171159368195355,0.32347141464657
"XPP3_23661.61","~ PGA",0.789657854189824,-0.191973150631717,0.309489560221965,0.102561040638628,0.509353996125161
"X3BP5_23662.10","~ PGA",0.336604611825168,-0.22305771388564,0.236087152981147,0.472879938043792,0.626927645031392
"VATC1_23663.28","~ PGA",0.50603985038528,-0.0814409503030735,0.668776240787299,0.295815281340122,0.17471916421476
"RTKN_23664.17","~ PGA",0.681038080942115,-0.116958253629692,0.5382214867952,0.166828603387305,0.269038968388839
"PRS6A_23665.35","~ PGA",0.687742811870957,-0.0282781077441228,0.882079464574262,0.162573940060187,0.0544922884832014
"PUR9_23666.35","~ PGA",0.909789021547514,0.0149308408888968,0.937582390636972,0.041059308119497,0.0279905580250141
"MID51_23668.281","~ PGA",0.822043573235612,0.0601758132794932,0.752095252122928,0.0851051616397021,0.12372715295664
"GFPT2_23669.20","~ PGA",0.0715261161321283,-0.267624011690378,0.152778859645033,1.14553535650428,0.815936735908795
"DPH2_23670.11","~ PGA",0.235242364992624,-0.0771426779259669,0.685346157420043,0.628484463098926,0.164090017872126
"SPDLY_23671.11","~ PGA",0.32657569454148,-0.202380652021297,0.283481758425907,0.486016140846478,0.547474881991021
"PSMD6_23672.10","~ PGA",0.500794742943761,-0.0355173033266182,0.852187039159837,0.300340238748304,0.0694650752331573
"ODB2_23673.9","~ PGA",0.517057884910565,-0.0787262519596378,0.679224295310857,0.286460834681641,0.167986788119326
"CEP76_23675.16","~ PGA",0.903081384775604,-0.0932046431246286,0.624219184285945,0.0442731097459826,0.20466288818351
"SPN90_23677.30","~ PGA",0.632477242411984,-0.0997651641212651,0.599910599178841,0.198955096512155,0.221913464909988
"SOX10_23678.132","~ PGA + Smoking",0.142976303404448,0.102706087326654,0.589146884159357,0.844735935636131,0.229776414844225
"DCC1_23679.43","~ PGA",0.174374193189296,-0.230975584053995,0.219432797000478,0.758517788811702,0.658698461119384
"MCPIP_23680.1","~ PGA",0.451099259641592,-0.102479862464701,0.589971864317162,0.345727885679579,0.229168699312368
"HENMT_23682.79","~ PGA",0.373746984528423,-0.0768118852557076,0.686627437954056,0.427422302635272,0.163278845952578
"TRI55_23683.79","~ PGA",0.816391847360842,-0.190728775465571,0.312695762072668,0.0881013408788943,0.504878004657057
"M1AP_23685.132","~ PGA",0.847491073523825,0.0572348900741045,0.763861318228102,0.0718648674490834,0.116985481994095
"C19L1_23686.44","~ PGA + Prednisone",0.924190891185175,0.00361959779124771,0.984854698279106,0.0342383161976532,0.00662783893427584
"TBC20_23687.27","~ PGA",0.436049573870702,-0.118089377939457,0.534271193384121,0.360464133587818,0.27223824129825
"CPNE6_23689.52","~ PGA",0.447544758682219,0.0452449723905964,0.812340151308626,0.349163524646038,0.0902620804837015
"RBM41_23690.228","~ PGA",0.175853539730054,-0.0775951276498728,0.683595039746614,0.754848885409264,0.165201097236395
"TTL12_23691.2","~ PGA",0.555475918677573,0.0475072210101262,0.80313513598135,0.255334764107709,0.0952113739327469
"ACSS3_23692.19","~ PGA",0.208413231163023,-0.23369028239743,0.213911034277315,0.681074713209911,0.669766812426367
"MKNK1_23693.4","~ PGA",0.262420330549592,-0.0671887840000357,0.72426094016214,0.581002521798396,0.140104935936194
"ASNS_23694.3","~ PGA",0.700788520203008,-0.0805360508552616,0.672252310867213,0.154413021071315,0.172467696214882
"FSD1_23695.1","~ PGA",0.125762986748951,-0.225546187367123,0.230764449773501,0.90044715710949,0.636831095240654
"TRM6_23696.256","~ PGA",0.982378219712147,-0.0174193143703796,0.927204835177749,0.00772127483043828,0.032824312284387
"ODO2_23699.61","~ PGA",0.415241641834843,-0.230523134330089,0.220362405186326,0.381699100457636,0.656862496085207
"ABCF3_23700.42","~ PGA",0.602801674785068,-0.0427564989091136,0.822494012469438,0.219825549740115,0.0848672549110559
"SHKB1_23702.98","~ PGA + Sex",0.173769409685656,0.0692248077576125,0.716242373369929,0.760026674228046,0.14493998941686
"PDLI5_23703.8","~ PGA",0.787139957728722,-0.0273732082963108,0.885828064935193,0.103948040874477,0.0526505644515657
"TMM24_23704.11","~ PGA",0.465541693014554,-0.0800836011313557,0.673992838258442,0.332041418366173,0.171344718184805
"PYRG1_23705.42","~ PGA",0.663317983801299,-0.0330288298451354,0.86244206412883,0.178278227999692,0.0642700696741164
"TR61B_23706.13","~ PGA",0.908533163621557,0.0052037506947902,0.978227525347764,0.0416592152849827,0.00956012117281995
"CK049_23767.1","~ PGA",0.632855711082392,0.0865406365546632,0.649313404593405,0.198695296339278,0.187545631347394
"ATF5_23771.17","~ PGA",0.796094363096307,0.00995389392593121,0.958365932415619,0.0990354511780194,0.0184686327958269
"F110A_23783.22","~ PGA",0.616610600257591,-0.121935200592657,0.520944602156942,0.20998901351511,0.283208457615511
"C5_2381.52","~ PGA",0.734481400158318,0.070371589335195,0.711738875826846,0.134019197710193,0.147679311964317
"GOT2_23903.3","~ PGA",0.48544563829255,-0.112207531528679,0.554962364981206,0.313859396675496,0.255736467751535
"Rab.7_23915.18","~ PGA",0.617056100633115,-0.0156095154747558,0.934751083370304,0.209675349600786,0.0293040228290281
"PPM1F_23923.26","~ PGA",0.879658762584761,0.012216142545461,0.948914744175165,0.0556857667897738,0.0227728052729646
"PRRT2_23929.159","~ PGA",0.898635034261749,-0.0703559320673774,0.71180029953,0.046416653971392,0.147641833578311
"CD29_23949.12","~ PGA",0.709546022942061,0.0984187631405973,0.604866292785519,0.149019429859017,0.218340616625282
