"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"ARMC5.ARM.5_8785.1",0.351887932790899,1333.62382718519,1190.41388891111,0.163888521566111,0.0743391165449295,0.0743391165449295
"PAX3_22525.9",0.280928391801716,177.825329222222,195.183888881481,-0.134373138513695,-0.0740939353783326,0.0740939353783326
"LDH.H.1_3890.8",0.349843785929549,6150.37703707407,6881.41168722222,-0.162029702151039,-0.0739059333184042,0.0739059333184042
"HOP2_23309.11",0.354483561959839,679.869732511111,606.8105144,0.164012259193364,0.0738717610294125,0.0738717610294125
"Chymotrypsin_5671.1",0.29674266787338,901.774135866667,818.611604940741,0.139587012969247,0.073648900214775,0.073648900214775
"NEUR1_6003.28",0.516479381351381,386.742057611111,462.01467077037,-0.256566999725546,-0.0736211338207019,0.0736211338207019
"EphA5_3806.55",0.331813495764488,627.26572017037,563.922839503704,0.153578947183337,0.0735805880054021,0.0735805880054021
"CS077_7108.7",0.167693129545315,243.41320987037,227.956728392593,0.0946474717050094,0.0733976690638429,0.0733976690638429
"CJ038_5610.32",0.2174562390579,162.773806581481,150.755596711111,0.1106569987502,0.0733244398694312,0.0733244398694312
"SREC.I_5129.12",0.191573110691778,5509.87016462963,5914.13131685185,-0.102147953963516,-0.0733080572246705,0.0733080572246705
"T106B_8687.26",0.393402471256403,367.87100822963,416.975596711111,-0.180762970573981,-0.0732384523128788,0.0732384523128788
"IL.17F_2775.54",0.194612696297706,368.79510287037,343.387489707407,0.102982018706754,0.0732025878987355,0.0732025878987355
"Beta.dystroglycan_23176.17",0.36301215500354,5901.22304525926,5259.45415648148,0.166100908481911,0.0730974939513713,0.0730974939513713
"SLIK2_21385.5",0.241139611580216,445.567962966667,410.622263366667,0.117833653896487,0.0727895530520312,0.0727895530520312
"Fibronectin_4131.72",0.461184361355835,27782.6299381481,32268.1309451481,-0.215926842478571,-0.0725785023324597,0.0725785023324597
"FCAMR_9568.289",0.421457120441508,862.9480247,986.456502044445,-0.192981767887123,-0.0724157531182498,0.0724157531182498
"F134B_8556.5",0.223781984544509,534.22860082963,494.544341566667,0.111357334229636,0.0724017413149797,0.0724017413149797
"ARL11_12433.8",0.143266329780004,4912.83565844444,5213.42576122222,-0.0856757046876182,-0.0722979458710095,0.0722979458710095
"ClpP.endopeptidase_17196.5",0.223707927572214,1116.3514609037,1205.60181073333,-0.110962186555771,-0.0721607766401352,0.0721607766401352
"ITM2C.C.term_9523.34",0.125006592784684,335.723436214815,317.666008237037,0.0797625292206849,0.0720309145095557,0.0720309145095557
"FGFP1_15494.11",0.314215185300257,1143.45810705185,1035.42541157037,0.143179880016405,0.0719869535223331,0.0719869535223331
"ANKY2_25437.18",0.168285589738217,783.834176966667,734.988065859259,0.0928276542960551,0.0718442481145502,0.0718442481145502
"Periostin_3457.57",0.318375211552533,1711.35874491111,1548.27384761852,0.144481549957626,0.0718161080815877,0.0718161080815877
"MMP.16_9719.145",0.1755513011656,1058.5797530963,991.262016425926,0.094791610781833,0.071624156939775,0.071624156939775
"IL.12.p40_13733.5",0.291593395277921,236.887057614815,259.875288066667,-0.133620073566228,-0.0715164453997258,0.0715164453997258
"LIN7B_4238.4",0.0741963525964589,366.192325107407,382.612489718519,-0.0632824141921082,-0.0714849189439642,0.0714849189439642
