"Protein","Study_group","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"SMAD3_10363.13",0.984093823636919,0.27633771720285,0.497323520933254,0.385144334296143,0.314659863263218,0.406388499998867,0.922309968994127
"SMAD2_10364.6",0.929079012145248,0.393498548005939,0.846219576643736,0.245625112394646,0.639178898442989,0.517375135351124,0.576416295165767
"IL.23_10365.132",0.0429829978683945,0.0869280925761454,0.205330158540509,0.885454306210376,0.10974641652696,0.537970191126054,0.480742194454763
"PDGFRA_10366.11",0.432493309439487,0.50068486217278,0.554009903159628,0.123479572057317,0.761169699325185,0.125973338225139,0.248126190863647
"IL.12_10367.62",0.378839606418352,0.0528180822602978,0.226905888111488,0.35997352461657,0.857186822111115,0.786823628823556,0.567277302976985
"STAT1_10370.21",0.907220351883345,0.501437923412551,0.942236589437058,0.309213931123254,0.618366447193642,0.89237938363259,0.378693601213594
"STAT6_10372.18",0.885483827370974,0.800799292723641,0.915687809592945,0.159569799628786,0.133300345023799,0.547769018479256,0.360549748051492
"ANGL3_10382.1",0.40325599284307,0.893742767330286,0.447215580260102,0.43261314104501,0.908837322646086,0.38826682690061,0.731040486960195
"ZNRF3_10390.21",0.363708031553614,0.123146021338217,0.544521215207252,0.644279958720324,0.374112021462936,0.413012787652828,0.422605136804255
"ANGL3_10391.1",0.721947917449835,0.935534247963266,0.600145798547417,0.561766768629184,0.737364120892019,0.984730130869187,0.891874195526596
"Mcl.1_10396.6",0.166618736852807,0.817401984304633,0.565929476599949,0.561786712162013,0.236566170101424,0.217890535986679,0.390044509003987
"ANKR1_10398.110",0.407380532535515,0.592809381669421,0.820134764731628,0.296249636300636,0.389526837531974,0.272981194230182,0.342038642569169
"STX12_10418.36",0.334343859901859,0.283962185257871,0.966953126723797,0.523503222943447,0.70354440118379,0.494168552597706,0.924920930012833
"SCAR5_10419.1",0.452547098112684,0.0448059220717217,0.889384832612889,0.111989962720847,0.496375277325564,0.740036166111127,0.446510076310471
"FAIM1_10420.30",0.0214206352734459,0.488655154477274,0.956578171237861,0.901338452580067,0.771737899909668,0.271087010071754,0.195892070454985
"NPDC1_10424.31",0.691677581400682,0.304606349787487,0.552515502131858,0.38582692674846,0.820012065806008,0.628199700160967,0.0498298713504677
"B4GT5_10425.3",0.441521247688217,0.38492683409013,0.975741661199408,0.426374064247911,0.999471461539482,0.49384075428268,0.816795382226861
"GOSR2_10426.21",0.812652755793051,0.931482582905588,0.537973186589342,0.628258720054419,0.717125189668086,0.754580639217821,0.14081286367259
"KI2S2_10428.1",0.261972092808037,0.164235375196759,0.369070861610179,0.97221092817523,0.407862049510278,0.93642390981809,0.176451625022797
"X4F2.CD_10430.31",0.244009053942451,0.217764828843201,0.570869408201203,0.418056948028652,0.887700870404073,0.761552355687308,0.293093137004088
"K1644_10432.3",0.293566954053955,0.31775141548203,0.13491677157112,0.318704382536211,0.423549934635979,0.677759143677298,0.346928287212297
"ASPG_10435.2",0.871011346059704,0.962887406661027,0.835079307621025,0.866868813431742,0.349253589091637,0.0664866331756498,0.647726059424625
"CSF2R_10438.19",0.18069299893019,0.439695185151268,0.680224833316375,0.999180159173062,0.643671751697806,0.199563335656742,0.314529846228419
"Alpha.amylase.2B_10439.57",0.795252718694444,0.750048821372403,0.877472071701323,0.380489415691065,0.461115754751835,0.402078253885569,0.851293235794134
"ACAM.ECD_10440.26",0.518702990830106,0.135709150637067,0.982388375768195,0.736500745084338,0.691957658319536,0.758860329527173,0.920806668878313
"TM190_10442.1",0.731031957934882,0.422373726379541,0.895423152276124,0.397251200882434,0.233965014299984,0.428618734134462,0.360914553580175
"ApoM_10445.20",0.215109668625384,0.566605612878578,0.218904642117498,0.882586668423909,0.791794867088384,0.98008008638196,0.0833308268429778
"PABP3_10447.18",0.322051868085242,0.624491145774239,0.397343423792949,0.801166526634874,0.378739666929785,0.607651552748831,0.673716257180266
"TMM46_10449.31",0.887515291550083,0.476374177445216,0.851856085056558,0.31648362281014,0.471286689518603,0.637363152674818,0.310760154653179
"NUCB1_10451.11",0.636885239443748,0.16193346213634,0.959862925561768,0.615658802123417,0.171507221144256,0.524599587746458,0.819484694441748
"CEA20_10453.7",0.740268770463523,0.79896663504107,0.920667170138132,0.756227918647501,0.394880550813556,0.215903429251072,0.499413137584003
"DJC16_10454.99",0.940133907637808,0.73631792976234,0.874236811924059,0.369601709904542,0.601894273332346,0.741874361312457,0.431790668515347
"IL.31_10455.196",0.311085328095899,0.0627073178782566,0.750350271804954,0.482265897240783,0.368349042854408,0.013845403162315,0.435307950324757
"IL.18.Rb_10457.3",0.342314427439867,0.290262188194668,0.585436823599799,0.439619188477633,0.637943836066429,0.966525664219488,0.178236027077572
"Chitotriosidase.1_10460.1",0.104004070908433,0.0202421202155351,0.133104115309303,0.19041646482694,0.814612281804555,0.135575042269896,0.764251433334954
"INSL5_10462.14",0.381205943096828,0.155310014337951,0.567046383919777,0.208609351428513,0.517431720896515,0.643693813993121,0.0172829496698164
"Alkaline.phosphatase..intestine_10463.23",0.746410430773359,0.19133237634597,0.992508690239793,0.252582311533549,0.763747316522588,0.921428981173111,0.709862486991167
"ANTR1_10464.6",0.0926746253258984,0.636019933554931,0.822079893355887,0.226567643253158,0.509828161413191,0.775882116982512,0.285880257220191
"TXD11.N.term_10470.34",0.132256062956985,0.072484357267191,0.12678779338787,0.874968743636706,0.038312453574219,0.443140549818017,0.106508155791825
"HVEM_10472.53",0.940404961095202,0.585659033156183,0.782442360932038,0.548042635052201,0.120737947337379,0.43606012783903,0.0607662659146011
"Trefoil.factor.2_10473.2",0.324284816631071,0.413084351022083,0.444383524470766,0.912595116741646,0.0601742765061796,0.761380612778004,0.00491434213691608
"MMP.10_10479.18",0.141857297750822,0.423454785134289,0.548985815628216,0.186646364640762,0.93747031107267,0.239071755187232,0.939058823883859
"CD59_10480.33",0.785540123262193,0.336781306109374,0.488488638901706,0.267711580527135,0.918430078997139,0.793591328408317,0.801445686755106
"MAGE.4_10485.56",0.859647268179164,0.468776897613962,0.490548970850445,0.385912355188494,0.898560846887284,0.719021401727558,0.238618080816775
"RPN1.CD_10490.3",0.464836468450378,0.354763055188664,0.120520543381947,0.770340411666471,0.995010322955764,0.0753333464680644,0.738138214102524
"CaCC_10496.11",0.191721957753546,0.093447539382865,0.391282416693497,0.584164196373121,0.518016406041454,0.349848286570105,0.304125541805555
"T106A_10499.1",0.413321455235476,0.185872135562165,0.626062538075234,0.259634015871489,0.595027309431287,0.445708554962764,0.727028470600632
"RNF43_10505.12",0.364415010120682,0.608140992109006,0.722885318359378,0.155460661457556,0.291156422434044,0.280414087548972,0.773939256396699
